X	Y	DBH	HT
76.15	0.3	17.02	12.5
83.46	0.61	11.94	5.79
30.12	0.91	9.91	9.14
52.07	0.91	14.48	10.67
154.18	0.91	22.61	15.54
31.65	1.22	10.41	9.75
159.97	1.22	19.81	13.41
188.92	1.22	19.81	15.54
196.85	1.52	12.7	10.97
41.1	1.83	20.07	17.37
177.34	1.83	21.08	17.37
41.71	2.13	20.07	16.46
55.73	2.44	14.48	12.19
178.56	2.44	19.81	16.76
78.59	2.74	21.34	15.85
175.51	2.74	13.72	10.06
145.03	3.35	18.54	12.5
43.54	3.66	11.68	11.58
154.48	3.96	20.07	15.24
82.24	4.57	19.3	15.54
87.12	5.18	27.94	20.73
67.61	5.49	14.48	11.89
141.68	5.49	19.56	10.67
20.07	5.79	18.29	14.33
119.43	5.79	16.51	13.11
60.3	6.1	18.54	13.41
74.93	6.71	16.76	14.02
33.17	7.01	17.78	13.41
73.1	7.01	19.81	16.15
191.06	7.01	13.46	11.89
1.78	7.32	19.56	11.89
130.1	7.62	17.53	13.11
69.75	7.92	19.3	16.15
194.72	8.23	74.17	32.92
46.89	8.84	21.84	16.46
122.48	9.14	24.13	17.37
44.45	9.75	21.08	13.41
179.78	10.06	14.48	11.89
17.63	10.36	18.29	14.33
132.54	10.36	11.94	10.06
151.43	10.36	16	12.19
60.6	10.67	24.38	18.9
179.17	10.67	13.21	11.58
156.01	11.28	17.53	10.97
97.18	11.58	25.65	17.07
138.63	12.19	13.72	8.23
150.22	12.5	12.19	10.67
30.43	12.8	11.68	11.58
71.58	13.11	15.24	13.41
103.89	13.11	14.99	13.11
97.48	13.72	27.94	18.9
13.97	14.02	18.03	14.02
116.69	14.33	12.45	11.58
18.54	14.63	17.78	13.11
16.1	14.94	11.68	9.14
112.42	15.24	23.11	15.54
67.61	15.54	18.8	13.72
183.13	15.85	14.48	11.89
188.92	16.15	17.27	12.5
82.24	16.46	15.75	10.06
150.52	16.46	11.43	8.84
38.35	16.76	16.51	13.72
110.29	16.76	19.3	14.63
12.14	17.07	15.75	11.58
191.97	17.07	16.51	14.02
170.64	17.37	12.95	13.11
90.78	17.68	17.78	12.5
188.62	17.68	19.3	12.5
45.06	18.29	15.24	12.19
169.72	18.29	13.72	10.06
171.25	18.59	16.51	14.02
147.17	18.9	12.45	9.45
184.35	18.9	11.94	11.28
145.03	19.2	16.76	10.67
115.47	19.51	16.26	12.5
41.4	19.81	16.26	10.67
195.33	20.12	26.92	18.59
200.2	20.42	18.8	15.24
93.52	20.73	13.46	11.28
51.76	21.03	16.76	14.63
181.91	21.03	18.8	13.11
145.95	21.34	13.46	10.36
185.27	21.34	11.94	13.41
65.18	21.64	15.24	12.19
142.29	21.64	11.94	10.67
41.71	22.56	11.43	9.45
142.9	22.56	21.84	15.85
197.15	22.56	14.48	14.33
176.43	22.86	16	11.28
68.22	23.16	19.56	16.46
107.54	23.16	15.75	13.11
124.31	23.47	12.7	10.67
59.99	23.77	27.43	17.37
34.09	24.08	11.68	10.97
105.71	24.08	15.75	11.58
168.5	24.38	22.61	14.63
26.16	24.69	18.03	13.41
156.01	24.99	13.21	10.36
196.24	25.3	14.22	14.63
44.14	25.6	13.72	10.36
74.62	25.6	11.94	10.36
180.7	25.6	14.48	12.5
