y = number of satellite male crabs
x = carapace width of female crab

    x[]   y[]
  21.0    0
  22.0    0
  22.5    0
  22.5    1
  22.5    4
  22.9    4
  22.9    0
  22.9    0
  23.0    1
  23.0    0
  23.1    0
  23.1    0
  23.1    0
  23.2    4
  23.4    0
  23.5    0
  23.7    0
  23.7    0
  23.7    0
  23.8    0
  23.8    0
  23.8    6
  23.9    2
  24.0    0
  24.0   10
  24.1    0
  24.2    0
  24.2    2
  24.3    0
  24.3    0
  24.5    5
  24.5    1
  24.5    1
  24.5    6
  24.5    0
  24.5    0
  24.5    0
  24.7    0
  24.7    5
  24.7    0
  24.7    4
  24.7    4
  24.8    0
  24.9    0
  24.9    6
  24.9    0
  25.0    3
  25.0    2
  25.0    8
  25.0    5
  25.0    6
  25.0    4
  25.1    5
  25.1    0
  25.2    1
  25.2    1
  25.3    2
  25.4    6
  25.4    4
  25.4    0
  25.5    0
  25.5    0
  25.5    0
  25.6    0
  25.6    7
  25.7    8
  25.7    5
  25.7    0
  25.7    0
  25.7    0
  25.7    0
  25.8   10
  25.8    0
  25.8    0
  25.8    0
  25.8    3
  25.8    0
  25.8    0
  25.9    4
  26.0    4
  26.0    3
  26.0   14
  26.0    9
  26.0    5
  26.0    3
  26.1    5
  26.1    3
  26.2    0
  26.2    3
  26.2    3
  26.2    0
  26.2    0
  26.2    0
  26.2    2
  26.2    2
  26.3    1
  26.5    1
  26.5    4
  26.5    0
  26.5    0
  26.5    4
  26.5    7
  26.7    5
  26.7    2
  26.7    0
  26.8    5
  26.8    0
  26.8    0
  27.0    3
  27.0    3
  27.0    6
  27.0    6
  27.0    0
  27.1    8
  27.1    0
  27.2    5
  27.2    3
  27.3    1
  27.4    5
  27.4    6
  27.4    3
  27.5    6
  27.5    0
  27.5    1
  27.5    6
  27.5    0
  27.5    3
  27.6    4
  27.7    6
  27.7    5
  27.8    0
  27.8    3
  27.9    7
  27.9    6
  28.0    0
  28.0    1
  28.0    4
  28.2    6
  28.2    8
  28.2   11
  28.2    1
  28.3    8
  28.3   15
  28.3    0
  28.4    3
  28.4    5
  28.5    0
  28.5    1
  28.5    9
  28.5    3
  28.7    0
  28.7    3
  28.9    4
  29.0    1
  29.0    4
  29.0   10
  29.0    3
  29.0    1
  29.0    1
  29.3    4
  29.3   12
  29.5    4
  29.7    5
  29.8    4
  30.0    8
  30.0    9
  30.0    5
  30.2    2
  30.3    3
  30.5    3
  31.7    4
  31.9    2
  33.5    7
END
 
