# y = newt presence/absence
# x1 = % cover of macrophytes  
# x2 = other ponds within 1 km
# x3 = % shade
y []     x1[]    x2[]    x3[]
    0   30    2   10
    0    0    1   90
    0   80    4   20
    0    0    4   90
    1    0    5   90
    0   50    2    5
    0    5    5    5
    0    0    4    0
    0    5    0   95
    1   60    1   15
    0    0    3  100
    0   60    3   70
    0   40    0   10
    0    5    1   80
    0    5    1   75
    0   10    1   85
    0   50    1   60
    0   35    1   25
    0   20    5   15
    0   30    5    5
    0   20    5    0
    1   30    3    0
    1    0    3   50
    0    5    6   95
    0    5    6   80
    1    5    6   80
    0    0    4   90
    0   30    3   20
    0   20    4   20
    1   10    2   40
    0   35    5   50
    0    5    6   90
    0   10    2   90
    0   95    2   60
    0    5    4   70
    0    0    4   95
    0    0    5   85
    0   30    5   50
    0   10    5   20
   1   20    6   20
   1   40    5   15
    0    5    4   50
   1    0    5   60
   0   70    9   60
   0    0    9   90
    0    5    6    5
    0    5    6    5
    0   80    3   10
    0   70    1   30
    0   70    1   25
    0    5    0  100
    0   15    2   70
    0   70    3    5
    0   40    2   65
    0    5    2   80
    0    0    2   90
    1   40    4   20
    1   30    2   50
    0   90    2   25
    0   20    2   35
    0   85    4    5
    0   90    2   50
    0    8    3   80
    0   25    2   60
    1   30    2   35
    0    5    6   50
    0   10    0   90
    0    5    6   60
    0    0    0   90
    0   75    1   28
    0    5    3   50
    0    0    1   75
    1   50    5   10
    1   30    6   15
    0    5    7   40
    0    0    5  100
    1   75    0   10
    0    5    6    0
    0   25    3    5
    0   80    4   10
    1   40    4   20
    0   25    4    0
    0   20    2    0
    0    0    9  100
    0    5    3    0
    0   12    3    0
    0   20    3   15
    0    0    0    5
    0   10    5    0
    0   70    4    0
    0   80    4    0
    0   65    5   25
    0    5    4    0
    1    5    3   50
    1   50    5    5
    1   10    3   50
    0   10    4   50
    1   15    8   50
    1   70    6   40
   1   10    8   80
   1   70    3   60
   0   10    5   90
   1    5    4   40
   0   10    6   70
   0   35    2   30
   1   40    2   30
   0   20    4   90
   0    0    6   80
   1   60    4    0
   0    0    2    0
   1   40    1    0
   0    5    2    0
   0    0    2    0
   1   10    1    0
   1   60    8    5
   1   30    8   10
   0    5    4  100
   1   60    2   50
   1   40    2   60
   1   70    8    5
   1   30    2   30
   0    5    2   60
   1   20    4   70
   1   60    3    0
   1    5    6    5
   0    0    3  100
   1   60    8    0
   1    5    3    0
   0   10    4   90
   0    0    2  100
   0   70    2    0
   1   30    2   60
   1   40    4    5
   1   10    2   20
   0    0    2    0
   1   20    3    0
   0    0    1  100
   0    5    2   10
   0    0    2  100
   1   40    2   80
   1   45    5   40
   1   80    2   30
   1   60    8   70
   1   20    9   40
   1   40    7   40
   1   70    5    0
   1   10    7    0
   1   30    7    0
   1   40    2   15
   0   20    2    5
   1   20    2   15
   1   40    1    0
   0    0    1  100
   0    5    1    5
   0    0    1   10
   0    0    6    0
   1   70    1   40
   1   60    6   10
   1   70    3    0
   1   20    2    0
   1   80    7    0
   0   10    8    5
   1   20    1   80
   0   40    2    0
   0    0    2   50
   0   10    1   70
   0   10    4   80
   0    5    1   70
   0   10    2  100
   1    5    2    0
   0   10    2   15
   1    5    3   20
   0    0    1  100
   1   10    4    0
   1    5    3   90
   1    5    3    0
   0    0    3   50
   0    0    4   80
   1   30    2   60
   0    0    2    0
   0    5    2   80
   0   15    2   80
   0    0    1   20
   0    0    2   15
   0    0    3    0
   0    0    1    5
   1   40    2   20
   0   15    4   50
   0    0    2    0
   0    0    3   20
   0   10    2   50
   0    0    4   60
   0   25    2   20
   1   30    6   30
   1   60    6    0
   0   20    2   30
   1    5    6    0
   0    0    2   60
   1    5    6    0
   0   10    3    0
END

