obs   mass   length pop
1     202.5   48.9   1
2     324.2   69.2   1
3     236.1   56.7   1
4     325.9   64.4   1
5     227.5   55.2   1
6     276.9   58.5   1
7     203.2   50.2   1
8     201.8   49.7   1
9     307.2   64.5   1
10    187.9   49.8   1
11    175.0   55.9   2
12    145.9   45.1   2
13    209.5   65.9   2
14    169.1   65.8   2
15    210.4   68.9   2
16    224.4   68.7   2
17    193.4   60.0   2
18    167.0   51.5   2
19    209.1   61.1   2
20    190.4   58.2   2
21    388.8   67.0   3
22    346.0   60.2   3
23    364.4   63.5   3
24    393.7   65.1   3
25    416.4   67.6   3
26    287.6   47.3   3
27    373.3   59.4   3
28    343.5   59.4   3
29    401.2   68.6   3
30    287.7   50.5   3
31    288.0   51.0   3
32    375.6   62.0   3
33    193.5   56.9   4
34    203.8   46.1   4
35    213.2   65.0   4
36    183.0   54.2   4
37    180.7   59.1   4
38    196.1   51.2   4
39    181.2   63.4   4
40    195.2   62.6   4
41    216.5   63.4   4
42    237.9   65.0   4
43    236.5   62.0   4  
44    195.7   50.0   4
45    204.0   47.0   4
